Item,Description,Quantity,Unit Price (USD),Total Price (USD),Purchase Link
RP2040 Microcontroller,Raspberry Pi Pico / RP2040 Board,1,4.00,4.00,https://www.raspberrypi.com/products/raspberry-pi-pico/
Mechanical Switches,Outemu / Gateron MX Switches (81 keys),81,0.20,16.20,https://www.amazon.com/dp/B07K8C9N8V
EC11 Rotary Encoders,EC11 20mm D-Shaft Rotary Encoder,2,1.00,2.00,https://www.amazon.com/dp/B07DM2YMT4
1N4148 Diodes,1N4148 Switching Diodes (SOD-123 / Through-hole),81,0.03,2.43,https://www.amazon.com/dp/B071KS8LBH
Keycap Set,81-key / 75% Compatible Keycap Set,1,15.00,15.00,https://www.amazon.com/dp/B09QC1XW51
Custom PCB Fabrication,JLCPCB 2-Layer Custom PCB (5 pcs minimum),1,5.00,5.00,https://jlcpcb.com/
M2 Hardware Kit,M2 Standoffs and Screws for Keyboard Case Assembly,1,3.00,3.00,https://www.amazon.com/dp/B08212C78S
TOTAL,,,,,47.63
